yr,mo,mag
1981,7,0
1981,7,1
1981,7,0
1981,7,1
1981,7,1
1981,7,1
1981,7,1
1981,7,0
1981,7,0
1981,7,0
1981,7,1
1981,7,0
1981,7,0
1981,7,0
1981,7,0
1981,7,1
1981,7,1
1981,7,1
1981,7,0
1981,7,1
1981,7,0
1981,7,1
1981,7,0
1981,7,1
1981,7,1
1981,7,1
1981,7,0
1981,7,1
1981,7,1
1981,7,2
1981,7,1
1981,7,1
1981,7,0
1981,7,1
1981,7,2
1981,7,2
1981,7,1
1981,7,2
1981,7,2
1981,7,0
1981,7,1
1981,7,1
1981,7,0
1981,7,1
1981,7,1
1981,7,2
1981,7,0
1981,7,0
1981,7,0
1981,7,2
1981,7,1
1981,7,0
1981,7,0
1981,7,0
1981,7,0
1981,7,0
1981,7,0
1981,7,0
1981,7,1
1981,7,0
1981,7,1
1981,7,1
1981,7,0
1981,7,2
1981,7,0
1981,7,0
1981,7,1
1981,7,1
1981,7,1
1981,7,2
1981,7,2
1981,7,3
1981,7,1
1981,7,0
1981,7,0
1981,7,0
1981,7,2
1981,7,2
1981,7,2
1981,7,0
1981,7,1
1981,7,1
1981,7,0
1981,7,0
1981,7,3
1981,7,0
1981,8,0
1981,8,1
1981,8,1
1981,8,0
1981,8,0
1981,8,0
1981,8,1
1981,8,1
1981,8,1
1981,8,3
1981,8,0
1981,8,0
1981,8,1
1981,8,2
1981,8,0
1981,8,2
1981,8,1
1981,8,2
1981,8,2
1981,8,0
1981,8,1
1981,8,1
1981,8,1
1981,8,0
1981,8,2
1981,8,1
1981,8,1
1981,8,0
1981,8,0
1981,8,0
1981,8,1
1981,8,0
1981,8,0
1981,8,0
1981,8,0
1981,8,1
1981,8,0
1981,8,0
1981,8,1
1981,8,0
1981,8,1
1981,8,2
1981,8,1
1981,8,1
1981,8,0
1981,8,0
1981,8,1
1981,8,0
1981,8,0
1981,8,0
1981,8,0
1981,8,1
1981,8,1
1981,8,0
1981,8,0
1981,8,0
1981,8,0
1981,8,0
1981,8,1
1981,8,1
1981,8,0
1981,8,1
1981,8,1
1981,8,1
1981,9,1
1981,9,1
1981,9,0
1981,9,0
1981,9,0
1981,9,0
1981,9,1
1981,9,1
1981,9,1
1981,9,1
1981,9,1
1981,9,1
1981,9,1
1981,9,1
1981,9,1
1981,9,0
1981,9,0
1981,9,2
1981,9,0
1981,9,0
1981,9,0
1981,9,0
1981,9,0
1981,9,0
1981,9,0
1981,9,2
1981,10,0
1981,10,0
1981,10,1
1981,10,1
1981,10,1
1981,10,1
1981,10,1
1981,10,1
1981,10,1
1981,10,1
1981,10,1
1981,10,1
1981,10,1
1981,10,1
1981,10,2
1981,10,2
1981,10,2
1981,10,2
1981,10,3
1981,10,1
1981,10,2
1981,10,0
